"full_name","description","html_url","language","stargazers_count","forks_count","created_at","updated_at"
"ekky19/BeaconHunter","A PowerShell-based script to analyze network logs from CSV files and detect potential beaconing behavior. Supports VirusTotal integration for IP reputation checks.","https://github.com/ekky19/BeaconHunter","PowerShell","16","3","2025-05-11T00:10:16Z","2025-05-14T13:07:02Z"
"3lp4tr0n/BeaconHunter","Detect and respond to Cobalt Strike beacons using ETW.","https://github.com/3lp4tr0n/BeaconHunter","C#","496","49","2021-01-23T22:37:13Z","2025-05-13T17:36:06Z"
"tennc/webshell","This is a webshell open source project","https://github.com/tennc/webshell","PHP","10392","5595","2013-05-23T07:37:56Z","2025-05-18T09:00:03Z"
"winapps-org/winapps"," Run Windows apps such as Microsoft Office/Adobe in Linux (Ubuntu/Fedora) and GNOME/KDE as if they were a part of the native OS, including Nautilus integration. Hard fork of https://github.com/Fmstrat/winapps/","https://github.com/winapps-org/winapps","Shell","2387","92","2023-07-05T15:05:25Z","2025-05-17T22:30:31Z"
"LOFL-Project/LOFLCAB",,"https://github.com/LOFL-Project/LOFLCAB",,"54","5","2023-07-15T15:25:07Z","2025-05-08T02:05:38Z"
"magicsword-io/bootloaders","bootloaders.io is a curated list of known malicious bootloaders for various operating systems. The project aims to assist security professionals in staying informed and mitigating potential threats associated with bootloaders.","https://github.com/magicsword-io/bootloaders","YARA","58","11","2023-06-03T00:20:18Z","2025-05-12T11:27:03Z"
"vertexproject/synapse","Synapse Central Intelligence System","https://github.com/vertexproject/synapse","Python","407","79","2015-06-10T23:29:41Z","2025-05-16T16:15:40Z"
"chinatso/-v1.0","Õå░ÞØÄv1.0","https://github.com/chinatso/-v1.0","Java","61","37","2018-09-26T02:42:44Z","2025-05-07T10:50:03Z"
"yisier/nps","Õƒ║õ║ÄNPS 0.26.10 þëêµ£¼õ║îÕ╝ÇÞÇîµØÑ´╝îNPSµÄÑÕèøÚí╣þø«ÒÇéÕàìÞ┤╣NPSÞèéþé╣´╝Ühttps://natnps.com","https://github.com/yisier/nps","Go","2748","337","2022-09-14T06:24:00Z","2025-05-18T06:51:32Z"
"ehang-io/nps","õ©Çµ¼¥Þ¢╗ÚçÅþ║ºÒÇüÚ½ÿµÇºÞâ¢ÒÇüÕèƒÞâ¢Õ╝║ÕñºþÜäÕåàþ¢æþ®┐ÚÇÅõ╗úþÉåµ£ìÕèíÕÖ¿ÒÇéµö»µîütcpÒÇüudpÒÇüsocks5ÒÇühttpþ¡ëÕçáõ╣ÄµëÇµ£ëµÁüÚçÅÞ¢¼ÕÅæ´╝îÕÅ»þö¿µØÑÞ«┐Úù«Õåàþ¢æþ¢æþ½ÖÒÇüµ£¼Õ£░µö»õ╗ÿµÄÑÕÅúÞ░âÞ»òÒÇüsshÞ«┐Úù«ÒÇüÞ┐£þ¿ïµíîÚØó´╝îÕåàþ¢ædnsÞºúµ×ÉÒÇüÕåàþ¢æsocks5õ╗úþÉåþ¡ëþ¡ëÔÇªÔÇª´╝îÕ╣ÂÕ©ªµ£ëÕèƒÞâ¢Õ╝║ÕñºþÜäwebþ«íþÉåþ½»ÒÇéa lightweight, high-performance, powerful intranet penetration proxy server, with a powerful web management terminal.","https://github.com/ehang-io/nps","Go","32521","5866","2018-11-04T13:22:51Z","2025-05-18T10:56:11Z"
"wyx176/Socks5","Socks5õ╗úþÉåµ£ìÕèíÕÖ¿µÉ¡Õ╗║ÞäÜµ£¼/Socks5 shortcut creation script","https://github.com/wyx176/Socks5","Shell","387","240","2018-04-29T12:16:36Z","2025-05-07T10:48:10Z"
"L-codes/Neo-reGeorg","Neo-reGeorg is a project that seeks to aggressively refactor reGeorg","https://github.com/L-codes/Neo-reGeorg","Python","3076","457","2019-07-08T14:25:42Z","2025-05-18T00:15:52Z"
"ReversecLabs/lolcerts","A repository of code signing certificates known to have been leaked or stolen, then abused by threat actors","https://github.com/ReversecLabs/lolcerts","YARA","352","27","2024-02-07T15:06:57Z","2025-05-16T01:20:22Z"
"sheimo/awesome-lolbins-and-beyond","A curated list of awesome LOLBins, GTFO projects, and similar 'Living Off the Land' security resources.","https://github.com/sheimo/awesome-lolbins-and-beyond",,"154","11","2024-10-22T13:58:00Z","2025-05-06T11:30:34Z"
"wtechsec/LSASS-Forked-Dump---Bypass-EDR-CrowdStrike",,"https://github.com/wtechsec/LSASS-Forked-Dump---Bypass-EDR-CrowdStrike","PowerShell","46","12","2025-04-29T14:56:21Z","2025-05-17T20:47:05Z"
"mvt-project/mvt","MVT (Mobile Verification Toolkit) helps with conducting forensics of mobile devices in order to find signs of a potential compromise.","https://github.com/mvt-project/mvt","Python","11189","1065","2021-07-16T05:50:44Z","2025-05-18T12:39:10Z"
"nccgroup/GTFOBLookup","Offline command line lookup utility for GTFOBins (https://github.com/GTFOBins/GTFOBins.github.io), LOLBAS (https://github.com/LOLBAS-Project/LOLBAS), WADComs (https://wadcoms.github.io), and HijackLibs (https://hijacklibs.net/).","https://github.com/nccgroup/GTFOBLookup","Python","280","41","2019-09-23T16:00:18Z","2025-05-15T11:14:18Z"
"mertdas/SharpTerminator","Terminate AV/EDR Processes using kernel driver","https://github.com/mertdas/SharpTerminator","C#","342","65","2023-06-11T06:35:51Z","2025-04-30T23:44:14Z"
"Yara-Rules/yara-endpoint","Yara-Endpoint is a tool useful for incident response as well as anti-malware enpoint base on Yara signatures.","https://github.com/Yara-Rules/yara-endpoint","Go","109","30","2017-11-04T13:26:21Z","2025-04-29T04:41:26Z"
"cyberdefenders/DetectionLabELK","DetectionLabELK is a fork from DetectionLab with ELK stack instead of Splunk.","https://github.com/cyberdefenders/DetectionLabELK","PowerShell","558","105","2020-02-04T18:14:40Z","2025-05-16T16:43:21Z"
"pluralsight/PS-AutoLab-Env","A PowerShell module for creating lab configurations using Lability and Desired State Configuration. Look at README.md for more information.","https://github.com/pluralsight/PS-AutoLab-Env","PowerShell","271","76","2016-09-14T14:57:29Z","2025-04-28T11:42:12Z"
"pwntester/ysoserial","A proof-of-concept tool for generating payloads that exploit unsafe Java object deserialization.","https://github.com/pwntester/ysoserial","Java","11","1","2016-02-27T22:48:14Z","2025-05-14T20:32:51Z"
"moloch--/RootTheBox","A Game of Hackers (CTF Scoreboard & Game Manager)","https://github.com/moloch--/RootTheBox","Python","995","311","2012-03-11T06:30:48Z","2025-05-11T10:11:49Z"
"splunk/ShellSweep","ShellSweeping the evil.","https://github.com/splunk/ShellSweep","YARA","167","16","2023-10-04T14:38:44Z","2025-05-07T04:48:28Z"
"Syslifters/HackTheBox-Reporting","Hack The Box CPTS, CBBH Exam and Lab Reporting / Note-Taking Tool","https://github.com/Syslifters/HackTheBox-Reporting",,"210","18","2023-05-22T10:17:17Z","2025-05-17T03:48:19Z"
"trufflesecurity/xsshunter",,"https://github.com/trufflesecurity/xsshunter","SCSS","450","124","2023-01-25T12:36:07Z","2025-05-17T18:16:29Z"
"Ileriayo/markdown-badges","Badges for your personal developer branding, profile, and projects.","https://github.com/Ileriayo/markdown-badges","SCSS","14794","1718","2020-07-19T15:49:20Z","2025-05-18T12:43:15Z"
"hashicorp/vault","A tool for secrets management, encryption as a service, and privileged access management","https://github.com/hashicorp/vault","Go","32404","4359","2015-02-25T00:15:59Z","2025-05-18T09:30:52Z"
"ShiftLeftSecurity/sast-scan","Scan is a free & Open Source DevSecOps tool for performing static analysis based security testing of your applications and its dependencies. CI and Git friendly.","https://github.com/ShiftLeftSecurity/sast-scan","Python","839","120","2020-03-23T18:51:12Z","2025-05-15T08:51:39Z"
"StevenBlack/hosts","­ƒöÆ Consolidating and extending hosts files from several well-curated sources. Optionally pick extensions for porn, social media, and other categories.","https://github.com/StevenBlack/hosts","Python","28098","2312","2012-04-12T20:22:50Z","2025-05-18T07:41:56Z"
"webpwnized/mutillidae","OWASP Mutillidae II is a free, open-source, deliberately vulnerable web application providing a target for web-security training. This is an easy-to-use web hacking environment designed for labs, security enthusiasts, classrooms, CTF, and vulnerability assessment tool targets.","https://github.com/webpwnized/mutillidae","PHP","1360","456","2018-09-28T02:41:14Z","2025-05-18T01:59:03Z"
"OWASP/owasp-cstg",,"https://github.com/OWASP/owasp-cstg",,"36","20","2019-02-28T19:13:49Z","2025-04-21T08:34:44Z"
"OWASP/owasp.github.io","OWASP Foundation main site repository","https://github.com/OWASP/owasp.github.io","HTML","584","285","2019-07-01T15:50:57Z","2025-05-18T04:15:52Z"
"snyk/cli","Snyk CLI scans and monitors your projects for security vulnerabilities.","https://github.com/snyk/cli","TypeScript","5118","621","2015-10-30T11:36:00Z","2025-05-16T23:10:10Z"
"OWASP/SecurityShepherd","Web and mobile application security training platform","https://github.com/OWASP/SecurityShepherd","Java","1381","483","2013-11-09T15:57:16Z","2025-05-18T12:43:53Z"
"mzfr/liffy","Local file inclusion exploitation tool","https://github.com/mzfr/liffy","Python","865","108","2019-06-08T06:50:38Z","2025-05-15T10:44:04Z"
"OsandaMalith/LFiFreak","A unique automated LFi Exploiter with Bind/Reverse Shells","https://github.com/OsandaMalith/LFiFreak","Python","279","83","2015-03-21T10:45:01Z","2025-05-15T10:42:55Z"
"D35m0nd142/LFISuite","Totally Automatic LFI Exploiter (+ Reverse Shell) and Scanner ","https://github.com/D35m0nd142/LFISuite","Python","1813","404","2017-06-09T13:38:29Z","2025-05-18T08:09:54Z"
"c0ny1/java-memshell-scanner","ÚÇÜÞ┐çjspÞäÜµ£¼µë½µÅÅjava web Filter/ServletÕ×ïÕåàÕ¡ÿÚ®¼","https://github.com/c0ny1/java-memshell-scanner","Java","899","129","2020-09-08T09:09:06Z","2025-05-16T08:39:30Z"
"DragonJAR/Security-Wordlist","A wordlist repository with human-curated and reviewed content.","https://github.com/DragonJAR/Security-Wordlist",,"107","29","2021-05-03T15:29:02Z","2025-05-13T07:52:00Z"
"enjoiz/XXEinjector","Tool for automatic exploitation of XXE vulnerability using direct and different out of band methods.","https://github.com/enjoiz/XXEinjector","Ruby","1632","319","2015-05-16T10:56:14Z","2025-05-18T06:15:31Z"
"scadastrangelove/SCADAPASS","SCADA StrangeLove Default/Hardcoded Passwords List","https://github.com/scadastrangelove/SCADAPASS",,"497","187","2015-12-24T14:33:09Z","2025-05-17T17:34:09Z"
"s0md3v/Decodify","Detect and decode encoded strings, recursively.","https://github.com/s0md3v/Decodify","Python","891","161","2017-11-04T06:17:58Z","2025-05-12T19:48:59Z"
"Mebus/cupp","Common User Passwords Profiler (CUPP)","https://github.com/Mebus/cupp","Python","4789","1210","2012-05-06T15:24:41Z","2025-05-18T09:15:28Z"
"vladko312/SSTImap","Automatic SSTI detection tool with interactive interface","https://github.com/vladko312/SSTImap","Python","1071","128","2022-06-15T06:27:32Z","2025-05-16T22:26:58Z"
"epinna/tplmap","Server-Side Template Injection and Code Injection Detection and Exploitation Tool","https://github.com/epinna/tplmap","Python","3935","682","2016-07-06T20:33:18Z","2025-05-18T04:43:33Z"
"tarunkant/Gopherus","This tool generates gopher link for exploiting SSRF and gaining RCE in various servers","https://github.com/tarunkant/Gopherus","Python","3078","388","2018-08-11T20:18:39Z","2025-05-18T11:38:22Z"
"htrgouvea/spellbook","Framework for rapid development of offensive security tools","https://github.com/htrgouvea/spellbook","Perl","108","27","2016-07-11T14:36:28Z","2025-04-15T01:08:27Z"
"coder/code-server","VS Code in the browser","https://github.com/coder/code-server","TypeScript","71727","5957","2019-02-27T16:50:41Z","2025-05-18T06:45:25Z"
"joshbegley/NSA-Stories","Every document published from the Snowden archive","https://github.com/joshbegley/NSA-Stories",,"68","19","2014-11-06T21:27:57Z","2025-04-15T00:56:40Z"
"PaulJerimy/SecCertRoadmapHTML","Security Certification Roadmap HTML5/CSS3 version","https://github.com/PaulJerimy/SecCertRoadmapHTML","HTML","848","152","2020-11-18T20:29:08Z","2025-05-16T06:54:13Z"
"vysecurity/RedTips","Red Team Tips as posted by @vysecurity on Twitter","https://github.com/vysecurity/RedTips",,"1062","236","2017-06-23T10:31:46Z","2025-05-18T01:43:46Z"
"vysecurity/Invoke-ProcessScan","Gives context to a system. Uses EQGRP shadow broker leaked list to give some descriptions to processes.","https://github.com/vysecurity/Invoke-ProcessScan","PowerShell","45","19","2017-06-03T18:36:30Z","2025-04-14T22:11:26Z"
"mdsecactivebreach/WMIPersistence","WMI Event Subscription Persistence in C#","https://github.com/mdsecactivebreach/WMIPersistence","C#","113","30","2019-05-29T09:40:01Z","2025-04-17T00:40:18Z"
"mdsecactivebreach/o365-attack-toolkit","A toolkit to attack Office365","https://github.com/mdsecactivebreach/o365-attack-toolkit","Go","1070","216","2019-07-22T10:39:46Z","2025-05-11T09:14:07Z"
"mgreen27/mcp-velociraptor","VelociraptorMCP is a Model Context Protocol bridge for exposing LLMs to MCP clients.","https://github.com/mgreen27/mcp-velociraptor","Python","25","3","2025-04-08T13:17:17Z","2025-05-13T15:43:48Z"
"RedTeamOperations/Red-Infra-Craft","RedInfraCraft automates the deployment of powerful red team infrastructures! It streamlines the setup of C2s, makes it easy to create advanced phishing & payload infras","https://github.com/RedTeamOperations/Red-Infra-Craft","HCL","143","26","2024-05-14T11:41:54Z","2025-05-14T14:05:25Z"
"NH-RED-TEAM/RustHound","Active Directory data ingestor for BloodHound Legacy written in Rust. ­ƒªÇ","https://github.com/NH-RED-TEAM/RustHound","Rust","1022","99","2022-10-12T05:54:35Z","2025-05-14T20:14:22Z"
"twpol/vmmap","Command-line tool for measuring process memory similar to the SysInternals tool of the same name. Includes the ability to summarise multiple processes and compare groups by process name, similar to Google Chrome's 'about:memory' page.","https://github.com/twpol/vmmap","C++","39","19","2015-11-17T21:52:09Z","2025-04-13T22:43:01Z"
"magicsword-io/LOLRMM","LotL RMM","https://github.com/magicsword-io/LOLRMM","MDX","187","35","2024-08-02T14:44:03Z","2025-05-18T08:08:39Z"
"infosecB/Rulehound","An index of publicly available and open-source threat detection rulesets.","https://github.com/infosecB/Rulehound",,"73","6","2025-04-04T01:07:10Z","2025-05-17T08:01:22Z"
"chrisjd20/Snorpy","Snorpy is a python script the gives a Gui interface to help those new to snort create rules.","https://github.com/chrisjd20/Snorpy","JavaScript","62","20","2015-05-11T22:33:41Z","2025-04-02T12:33:43Z"
"LaurieWired/GhidraMCP","MCP Server for Ghidra","https://github.com/LaurieWired/GhidraMCP","Java","4784","330","2025-03-23T05:36:55Z","2025-05-18T12:07:04Z"
"0xKoda/WireMCP","An MCP for WireShark (tshark). Empower LLM's with realtime network traffic analysis capability","https://github.com/0xKoda/WireMCP","JavaScript","118","10","2025-03-28T00:03:31Z","2025-05-17T17:03:26Z"
"sandialabs/gait","Zeek Extension to Collect Metadata for Profiling of Endpoints and Proxies","https://github.com/sandialabs/gait","Zeek","31","3","2022-07-01T23:16:24Z","2025-04-17T14:55:20Z"
"0xDanielLopez/TweetFeed","TweetFeed collects Indicators of Compromise (IOCs) shared by the infosec community at Twitter. Here you will find malicious URLs, domains, IPs, and SHA256/MD5 hashes.","https://github.com/0xDanielLopez/TweetFeed",,"559","62","2021-08-07T16:24:37Z","2025-05-18T12:34:13Z"
"plyara/plyara","Parse YARA rules and operate over them more easily.","https://github.com/plyara/plyara","Python","188","43","2018-06-05T00:53:20Z","2025-05-12T21:34:55Z"
"mandiant/speakeasy","Windows kernel and user mode emulation.","https://github.com/mandiant/speakeasy","Python","1645","245","2020-08-06T20:12:59Z","2025-05-17T16:21:12Z"
"CybercentreCanada/CCCS-Yara","YARA rule metadata specification and validation utility / Sp├®cification et validation pour les r├¿gles YARA","https://github.com/CybercentreCanada/CCCS-Yara","Python","104","21","2019-12-17T18:43:47Z","2025-05-12T14:19:12Z"
"CybercentreCanada/assemblyline","AssemblyLine 4: File triage and malware analysis","https://github.com/CybercentreCanada/assemblyline","Python","317","18","2020-12-03T18:06:55Z","2025-05-16T17:58:14Z"
"mitre/brawl-public-game-001","Data from a BRAWL Automated Adversary Emulation Exercise","https://github.com/mitre/brawl-public-game-001",,"206","36","2017-08-29T15:03:50Z","2025-05-02T10:30:31Z"
"mitre-attack/mitreattack-python","A python module for working with ATT&CK","https://github.com/mitre-attack/mitreattack-python","Python","545","129","2020-12-11T14:05:58Z","2025-05-18T02:57:45Z"
"palantir/windows-event-forwarding","A repository for using windows event forwarding for incident detection and response","https://github.com/palantir/windows-event-forwarding","Roff","1259","274","2017-09-05T19:54:17Z","2025-05-13T23:18:18Z"
"op7ic/BlueTeam.Lab","Blue Team detection lab created with Terraform and Ansible in Azure. ","https://github.com/op7ic/BlueTeam.Lab","Jinja","155","19","2022-01-10T08:00:45Z","2025-05-17T10:34:35Z"
"sbousseaden/PCAP-ATTACK","PCAP Samples for Different Post Exploitation Techniques ","https://github.com/sbousseaden/PCAP-ATTACK",,"359","76","2020-07-18T22:32:08Z","2025-05-14T13:42:20Z"
"Te-k/harpoon","CLI tool for open source and threat intelligence","https://github.com/Te-k/harpoon","Python","1208","181","2017-09-25T03:43:25Z","2025-05-18T03:21:24Z"
"ashemery/malware-tools","A list of useful tools for Malware Analysis (will be updated regularly)","https://github.com/ashemery/malware-tools","HTML","141","13","2024-03-28T09:04:12Z","2025-04-06T04:45:40Z"
"pan-unit42/playbook_viewer",,"https://github.com/pan-unit42/playbook_viewer","CSS","173","43","2017-12-15T13:19:54Z","2025-05-16T14:43:31Z"
"pan-unit42/iocs","Indicators from Unit 42 Public Reports","https://github.com/pan-unit42/iocs","PHP","711","152","2015-06-04T13:37:09Z","2025-04-24T23:43:42Z"
"pan-unit42/Wireshark-quizzes","Packet captures of malicious traffic for analysis using Wireshark","https://github.com/pan-unit42/Wireshark-quizzes",,"58","15","2023-01-09T15:57:05Z","2025-04-19T16:31:43Z"
"3CORESec/testmynids.org","A website and framework for testing NIDS detection ","https://github.com/3CORESec/testmynids.org","Shell","256","22","2021-08-29T15:55:46Z","2025-05-17T14:03:52Z"
"swisskyrepo/SSRFmap","Automatic SSRF fuzzer and exploitation tool","https://github.com/swisskyrepo/SSRFmap","Python","3197","542","2018-10-15T19:08:26Z","2025-05-18T08:09:57Z"
"ttpreport/ligolo-mp","Multiplayer pivoting solution","https://github.com/ttpreport/ligolo-mp","Go","375","40","2024-01-21T14:13:29Z","2025-05-17T06:47:20Z"
"projectdiscovery/interactsh","An OOB interaction gathering server and client library","https://github.com/projectdiscovery/interactsh","Go","3765","391","2021-01-29T14:31:51Z","2025-05-17T03:48:31Z"
"dirkjanm/adidnsdump","Active Directory Integrated DNS dumping by any authenticated user","https://github.com/dirkjanm/adidnsdump","Python","1003","119","2019-04-24T17:18:46Z","2025-05-15T06:59:44Z"
"urbanadventurer/username-anarchy","Username tools for penetration testing","https://github.com/urbanadventurer/username-anarchy","Ruby","1036","145","2012-11-07T05:35:10Z","2025-05-15T10:06:50Z"
"certeu/droid","A pySigma wrapper to manage detection rules.","https://github.com/certeu/droid","Python","39","4","2024-05-15T08:27:36Z","2025-05-13T13:18:38Z"
"infosecB/detection-as-code","An example of how to deploy a Detection as Code pipeline using Sigma Rules, Sigmac, Gitlab CI, and Splunk.","https://github.com/infosecB/detection-as-code","Python","56","14","2021-11-21T13:49:06Z","2025-05-14T08:29:43Z"
"orangetw/tsh","Tiny SHell is an open-source UNIX backdoor.","https://github.com/orangetw/tsh","C","689","185","2013-09-23T16:57:35Z","2025-05-12T14:40:55Z"
"ufrisk/pcileech","Direct Memory Access (DMA) Attack Software","https://github.com/ufrisk/pcileech","C","5641","809","2016-07-27T16:26:36Z","2025-05-18T05:33:17Z"
"intezer/MemoryPatchDetector","Detects code differentials between executables in disk and the corresponding processes/modules in memory","https://github.com/intezer/MemoryPatchDetector","Python","115","36","2015-08-06T19:15:22Z","2025-03-13T21:25:15Z"
"digitalisx/awesome-memory-forensics","A curated list of awesome Memory Forensics for DFIR","https://github.com/digitalisx/awesome-memory-forensics",,"436","54","2022-04-02T11:47:06Z","2025-05-15T19:08:48Z"
"tstillz/webshell-analyzer","Web shell scanner and analyzer.","https://github.com/tstillz/webshell-analyzer","Go","109","26","2020-07-12T12:54:47Z","2025-05-05T05:29:44Z"
"LandGrey/copagent","java memory web shell extracting tool","https://github.com/LandGrey/copagent","Java","439","61","2020-08-09T12:11:02Z","2025-05-15T11:05:21Z"
"LETHAL-FORENSICS/MemProcFS-Analyzer","MemProcFS-Analyzer - Automated Forensic Analysis of Windows Memory Dumps for DFIR","https://github.com/LETHAL-FORENSICS/MemProcFS-Analyzer","PowerShell","624","67","2021-05-15T05:03:25Z","2025-05-18T07:58:23Z"
"0xJs/RedTeaming_CheatSheet","Pentesting cheatsheet with all the commands I learned during my learning journey. Will try to to keep it up-to-date.","https://github.com/0xJs/RedTeaming_CheatSheet","C++","1397","241","2021-12-27T17:14:00Z","2025-05-18T01:42:41Z"
"kraken-ng/Kraken","Kraken, a modular multi-language webshell coded by @secu_x11","https://github.com/kraken-ng/Kraken","Python","543","47","2023-02-21T10:23:55Z","2025-05-17T14:29:30Z"
"veo/wsMemShell","WebSocket ÕåàÕ¡ÿÚ®¼/Webshell´╝îõ©Çþºìµû░Õ×ïÕåàÕ¡ÿÚ®¼/WebShellµèÇµ£»","https://github.com/veo/wsMemShell","Java","1446","227","2022-06-30T08:05:41Z","2025-05-18T04:17:18Z"
"rebeyond/Behinder","ÔÇ£Õå░ÞØÄÔÇØÕè¿µÇüõ║îÞ┐øÕêÂÕèáÕ»åþ¢æþ½Öþ«íþÉåÕ«óµêÀþ½»","https://github.com/rebeyond/Behinder",,"5980","977","2018-09-26T01:11:17Z","2025-05-18T09:02:47Z"
"AntSwordProject/AntSword-JSP-Template",,"https://github.com/AntSwordProject/AntSword-JSP-Template","Java","199","26","2020-08-25T15:53:19Z","2025-05-06T08:01:02Z"
"BeichenDream/GodzillaMemoryShellProject",,"https://github.com/BeichenDream/GodzillaMemoryShellProject","Java","275","34","2022-07-14T17:34:48Z","2025-05-15T11:17:59Z"
"hosch3n/msmap","Msmap is a Memory WebShell Generator.","https://github.com/hosch3n/msmap","Python","582","90","2022-08-08T02:06:40Z","2025-05-17T20:46:40Z"
"gobysec/Memory-Shell","The king of shell -Javaweb Memory Shell ","https://github.com/gobysec/Memory-Shell",,"23","4","2023-03-07T08:32:44Z","2025-03-12T06:18:05Z"
"CrowdStrike/logscale-community-content","This repository contains Community and Field contributed content for LogScale","https://github.com/CrowdStrike/logscale-community-content","Shell","228","38","2023-01-20T16:37:28Z","2025-05-15T13:00:28Z"
"SigmaHQ/pySigma","Python library to parse and convert Sigma rules into queries (and whatever else you could imagine)","https://github.com/SigmaHQ/pySigma","Python","454","113","2021-06-14T21:50:15Z","2025-05-14T08:55:42Z"
"SpiralBL0CK/CVE-2025-0087-","CVE-2025-0087 EoP full PoC","https://github.com/SpiralBL0CK/CVE-2025-0087-","JavaScript","15","5","2025-03-05T13:31:02Z","2025-05-11T16:44:06Z"
"hotnops/gtunnel","A robust tunelling solution written in golang","https://github.com/hotnops/gtunnel","Go","269","50","2020-03-09T02:52:48Z","2025-05-16T15:43:25Z"
"klsecservices/rpivot","socks4 reverse proxy for penetration testing","https://github.com/klsecservices/rpivot","Python","594","128","2016-09-07T17:25:57Z","2025-05-07T09:18:54Z"
