repo_full_name,repo_url,description,stars,list_name
Dec0ne/KrbRelayUp,https://github.com/Dec0ne/KrbRelayUp,KrbRelayUp - a universal no-fix local privilege escalation in windows domain environments where LDAP signing is not enforced (the default settings).,1582,Active Directory
eladshamir/Whisker,https://github.com/eladshamir/Whisker,"Whisker is a C# tool for taking over Active Directory user and computer accounts by manipulating their msDS-KeyCredentialLink attribute, effectively adding ""Shadow Credentials"" to the target account.",871,Active Directory
Leo4j/Invoke-ADEnum,https://github.com/Leo4j/Invoke-ADEnum,Active Directory Auditing and Enumeration,452,Active Directory
mpgn/BackupOperatorToDA,https://github.com/mpgn/BackupOperatorToDA,From an account member of the group Backup Operators to Domain Admin without RDP or WinRM on the Domain Controller,421,Active Directory
FuzzySecurity/StandIn,https://github.com/FuzzySecurity/StandIn,StandIn is a small .NET35/45 AD post-exploitation toolkit,767,Active Directory
Group3r/Group3r,https://github.com/Group3r/Group3r,"Find vulnerabilities in AD Group Policy, but do it better than Grouper2 did.",798,Active Directory
CiscoCXSecurity/linikatz,https://github.com/CiscoCXSecurity/linikatz,linikatz is a tool to attack AD on UNIX,558,Active Directory
GhostPack/Certify,https://github.com/GhostPack/Certify,Active Directory certificate abuse.,1669,Active Directory
Azure/Stormspotter,https://github.com/Azure/Stormspotter,Azure Red Team tool for graphing Azure and Azure Active Directory objects,1600,Active Directory
ANSSI-FR/AD-control-paths,https://github.com/ANSSI-FR/AD-control-paths,Active Directory Control Paths auditing and graphing tools,663,Active Directory
dionach/NtdsAudit,https://github.com/dionach/NtdsAudit,An Active Directory audit utility,418,Active Directory
cyberark/RiskySPN,https://github.com/cyberark/RiskySPN,Detect and abuse risky SPNs,262,Active Directory
stufus/ADOffline,https://github.com/stufus/ADOffline,Imports an LDAP file from Active Directory for SQL based offline reconnisance,53,Active Directory
gdedrouas/Exchange-AD-Privesc,https://github.com/gdedrouas/Exchange-AD-Privesc,Exchange privilege escalations to Active Directory,764,Active Directory
GoFetchAD/GoFetch,https://github.com/GoFetchAD/GoFetch,GoFetch is a tool to automatically exercise an attack plan generated by the BloodHound application.,632,Active Directory
hausec/ADAPE-Script,https://github.com/hausec/ADAPE-Script,Active Directory Assessment and Privilege Escalation Script,1103,Active Directory
safebuffer/vulnerable-AD,https://github.com/safebuffer/vulnerable-AD,Create a vulnerable active directory that's allowing you to test most of the active directory attacks in a local lab ,2122,Active Directory
c3c/ADExplorerSnapshot.py,https://github.com/c3c/ADExplorerSnapshot.py,"ADExplorerSnapshot.py is an AD Explorer snapshot parser. It is made as an ingestor for BloodHound, and also supports full-object dumping to NDJSON.",964,Active Directory
chryzsh/awesome-bloodhound,https://github.com/chryzsh/awesome-bloodhound,A curated list of awesome BloodhoundAD resources,230,Active Directory
tomcarver16/ADSearch,https://github.com/tomcarver16/ADSearch,A tool to help query AD via the LDAP protocol,547,Active Directory
GreyCorbel/admpwd,https://github.com/GreyCorbel/admpwd,AdmPwd project,85,Active Directory
CasperGN/ActiveDirectoryEnumeration,https://github.com/CasperGN/ActiveDirectoryEnumeration,Enumerate AD through LDAP with a collection of helpfull scripts being bundled,144,Active Directory
l0ss/Grouper2,https://github.com/l0ss/Grouper2,Find vulnerabilities in AD Group Policy,639,Active Directory
adrecon/ADRecon,https://github.com/adrecon/ADRecon,ADRecon is a tool which gathers information about the Active Directory and generates a report which can provide a holistic picture of the current state of the target AD environment. ,809,Active Directory
sense-of-security/ADRecon,https://github.com/sense-of-security/ADRecon,ADRecon is a tool which gathers information about the Active Directory and generates a report which can provide a holistic picture of the current state of the target AD environment. ,1807,Active Directory
outflanknl/Recon-AD,https://github.com/outflanknl/Recon-AD,"Recon-AD, an AD recon tool based on ADSI and reflective DLL’s",328,Active Directory
samratashok/ADModule,https://github.com/samratashok/ADModule,Microsoft signed ActiveDirectory PowerShell module,906,Active Directory
BloodHoundAD/SharpHound3,https://github.com/BloodHoundAD/SharpHound3,"C# Data Collector for the BloodHound Project, Version 3",537,Active Directory
BloodHoundAD/SharpHound2,https://github.com/BloodHoundAD/SharpHound2,The Old BloodHound C# Ingestor (Deprecated),511,Active Directory
byt3bl33d3r/DeathStar,https://github.com/byt3bl33d3r/DeathStar,Uses Empire's (https://github.com/BC-SECURITY/Empire) RESTful API to automate gaining Domain and/or Enterprise Admin rights in Active Directory environments using some of the most common offensive TTPs.,1608,Active Directory
infosecn1nja/AD-Attack-Defense,https://github.com/infosecn1nja/AD-Attack-Defense,Attack and defend active directory using modern post exploitation adversary tradecraft activity,4601,Active Directory
dirkjanm/ldapdomaindump,https://github.com/dirkjanm/ldapdomaindump,Active Directory information dumper via LDAP,1254,Active Directory
redcanaryco/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,Small and highly portable detection tests based on MITRE's ATT&CK.,10561,Adversary Emulation
guardicore/monkey,https://github.com/guardicore/monkey,Infection Monkey - An open-source adversary emulation platform,6800,Adversary Emulation
OTRF/Security-Datasets,https://github.com/OTRF/Security-Datasets,Re-play Security Events,1644,Adversary Emulation
lorentzenman/sheepl,https://github.com/lorentzenman/sheepl,Sheepl : Creating realistic user behaviour for supporting tradecraft development within lab environments,396,Adversary Emulation
NextronSystems/APTSimulator,https://github.com/NextronSystems/APTSimulator,A toolset to make a system look as if it was the victim of an APT attack,2593,Adversary Emulation
redcanaryco/invoke-atomicredteam,https://github.com/redcanaryco/invoke-atomicredteam,Invoke-AtomicRedTeam is a PowerShell module to execute tests as defined in the [atomics folder](https://github.com/redcanaryco/atomic-red-team/tree/master/atomics) of Red Canary's Atomic Red Team project.,907,Adversary Emulation
center-for-threat-informed-defense/adversary_emulation_library,https://github.com/center-for-threat-informed-defense/adversary_emulation_library,An open library of adversary emulation plans designed to empower organizations to test their defenses based on real-world TTPs. ,1893,Adversary Emulation
mitre/caldera,https://github.com/mitre/caldera,Automated Adversary Emulation Platform,6137,Adversary Emulation
endgameinc/RTA,https://github.com/endgameinc/RTA,,1073,Adversary Emulation
uber-common/metta,https://github.com/uber-common/metta,An information security preparedness tool to do adversarial simulation.,1122,Adversary Emulation
hashcat/hashcat,https://github.com/hashcat/hashcat,World's fastest and most advanced password recovery utility,22658,Brute Force
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,65447,Cheat Sheets/Resources
OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics.,29534,Cheat Sheets/Resources
cugu/awesome-forensics,https://github.com/cugu/awesome-forensics,⭐️ A curated list of awesome forensic analysis tools and resources,4303,Cheat Sheets/Resources
rmusser01/Infosec_Reference,https://github.com/rmusser01/Infosec_Reference,An Information Security Reference That Doesn't Suck; https://rmusser.net/git/admin-2/Infosec_Reference for non-MS Git hosted version.,5737,Cheat Sheets/Resources
MHaggis/hunt-detect-prevent,https://github.com/MHaggis/hunt-detect-prevent,"Lists of sources and utilities utilized to hunt, detect and prevent evildoers. ",165,Cheat Sheets/Resources
LOFL-Project/LOFLCAB,https://github.com/LOFL-Project/LOFLCAB,,54,Cheat Sheets/Resources
magicsword-io/bootloaders,https://github.com/magicsword-io/bootloaders,bootloaders.io is a curated list of known malicious bootloaders for various operating systems. The project aims to assist security professionals in staying informed and mitigating potential threats associated with bootloaders.,58,Cheat Sheets/Resources
ReversecLabs/lolcerts,https://github.com/ReversecLabs/lolcerts,"A repository of code signing certificates known to have been leaked or stolen, then abused by threat actors",352,Cheat Sheets/Resources
sheimo/awesome-lolbins-and-beyond,https://github.com/sheimo/awesome-lolbins-and-beyond,"A curated list of awesome LOLBins, GTFO projects, and similar 'Living Off the Land' security resources.",154,Cheat Sheets/Resources
OWASP/owasp-cstg,https://github.com/OWASP/owasp-cstg,,36,Cheat Sheets/Resources
OWASP/owasp.github.io,https://github.com/OWASP/owasp.github.io,OWASP Foundation main site repository,584,Cheat Sheets/Resources
joshbegley/NSA-Stories,https://github.com/joshbegley/NSA-Stories,Every document published from the Snowden archive,68,Cheat Sheets/Resources
PaulJerimy/SecCertRoadmapHTML,https://github.com/PaulJerimy/SecCertRoadmapHTML,Security Certification Roadmap HTML5/CSS3 version,848,Cheat Sheets/Resources
vysecurity/RedTips,https://github.com/vysecurity/RedTips,Red Team Tips as posted by @vysecurity on Twitter,1062,Cheat Sheets/Resources
magicsword-io/LOLRMM,https://github.com/magicsword-io/LOLRMM,LotL RMM,187,Cheat Sheets/Resources
pan-unit42/playbook_viewer,https://github.com/pan-unit42/playbook_viewer,,173,Cheat Sheets/Resources
digitalisx/awesome-memory-forensics,https://github.com/digitalisx/awesome-memory-forensics,A curated list of awesome Memory Forensics for DFIR,436,Cheat Sheets/Resources
0xJs/RedTeaming_CheatSheet,https://github.com/0xJs/RedTeaming_CheatSheet,Pentesting cheatsheet with all the commands I learned during my learning journey. Will try to to keep it up-to-date.,1397,Cheat Sheets/Resources
t3l3machus/pentest-pivoting,https://github.com/t3l3machus/pentest-pivoting,A compact guide to network pivoting for penetration testings / CTF challenges.,201,Cheat Sheets/Resources
six2dez/pentest-book,https://github.com/six2dez/pentest-book,,1701,Cheat Sheets/Resources
center-for-threat-informed-defense/security-stack-mappings,https://github.com/center-for-threat-informed-defense/security-stack-mappings,🚨ATTENTION🚨 The Security Stack Mappings have migrated to the Center’s Mappings Explorer project. See README below. This repository is kept here as an archive.,386,Cheat Sheets/Resources
infosecB/awesome-detection-engineering,https://github.com/infosecB/awesome-detection-engineering,"Detection Engineering is a tactical function of a cybersecurity defense program that involves the design, implementation, and operation of detective controls with the goal of proactively identifying malicious or unauthorized activity before it negatively impacts an individual or an organization.",972,Cheat Sheets/Resources
Ferdibrgl/HTB-certifiedCBBH,https://github.com/Ferdibrgl/HTB-certifiedCBBH,# HTB-certified-bug-bounty-hunter-exam-cheetsheet All cheetsheets with main information about CBBH role path in one place.,24,Cheat Sheets/Resources
intezer/Malware-Reverse-Engineering-for-Beginners,https://github.com/intezer/Malware-Reverse-Engineering-for-Beginners,"This repository contains relevant samples and data related to ""Malware Reverse Engineering for Beginners"" articles.",62,Cheat Sheets/Resources
fr0gger/jupyter-collection,https://github.com/fr0gger/jupyter-collection,Collection of Jupyter Notebooks by @fr0gger_,160,Cheat Sheets/Resources
sehno/Bug-bounty,https://github.com/sehno/Bug-bounty,Ressources for bug bounty hunting,1822,Cheat Sheets/Resources
jhaddix/tbhm,https://github.com/jhaddix/tbhm,The Bug Hunters Methodology,4062,Cheat Sheets/Resources
jwardsmith/Bug-Bounty,https://github.com/jwardsmith/Bug-Bounty,"This cheatsheet contains techniques, commands, and tools commonly used during web application penetration tests. It provides quick references to common vulnerabilities, exploitation techniques, and tools used in modern web application attacks.",1,Cheat Sheets/Resources
Gallopsled/pwntools-tutorial,https://github.com/Gallopsled/pwntools-tutorial,Tutorials for getting started with Pwntools,1468,Cheat Sheets/Resources
BushidoUK/Ransomware-Tool-Matrix,https://github.com/BushidoUK/Ransomware-Tool-Matrix,A resource containing all the tools each ransomware gangs uses,1028,Cheat Sheets/Resources
BushidoUK/Russian-APT-Tool-Matrix,https://github.com/BushidoUK/Russian-APT-Tool-Matrix,A tool matrix for Russian APTs based on the Ransomware Tool Matrix,209,Cheat Sheets/Resources
THORCollective/HEARTH,https://github.com/THORCollective/HEARTH,"A community-driven repository for threat hunting ideas, methodologies, and research that serves as a central gathering place for hunters to share knowledge, collaborate on techniques, and advance the field of threat hunting.",252,Cheat Sheets/Resources
nsacyber/Mitigating-Web-Shells,https://github.com/nsacyber/Mitigating-Web-Shells,Guidance for mitigation web shells. #nsacyber,974,Cheat Sheets/Resources
swisskyrepo/HardwareAllTheThings,https://github.com/swisskyrepo/HardwareAllTheThings,Hardware/IOT Pentesting Wiki,625,Cheat Sheets/Resources
swisskyrepo/InternalAllTheThings,https://github.com/swisskyrepo/InternalAllTheThings,Active Directory and Internal Pentest Cheatsheets,1470,Cheat Sheets/Resources
shogunlab/building-c2-implants-in-cpp,https://github.com/shogunlab/building-c2-implants-in-cpp,"The source code files that accompany the short book ""Building C2 Implants in C++: A Primer"" by Steven Patterson (@shogun_lab).",229,Cheat Sheets/Resources
LOLAD-Project/LOLAD-Project.github.io,https://github.com/LOLAD-Project/LOLAD-Project.github.io,https://lolad-project.github.io/,75,Cheat Sheets/Resources
infosecB/LOOBins,https://github.com/infosecB/LOOBins,"Living Off the Orchard: macOS Binaries (LOOBins) is designed to provide detailed information on various built-in ""living off the land"" macOS binaries and how they can be used by threat actors for malicious purposes. ",459,Cheat Sheets/Resources
LOLESXi-Project/LOLESXi,https://github.com/LOLESXi-Project/LOLESXi,LOLESXi is a curated compilation of binaries/scripts available in VMware ESXi that are were used to by adversaries in their intrusions. This project gathers procedural examples from public reports of adversarial activities targeting ESXi hosts,123,Cheat Sheets/Resources
magicsword-io/LOLDrivers,https://github.com/magicsword-io/LOLDrivers,Living Off The Land Drivers,1171,Cheat Sheets/Resources
mitre/training,https://github.com/mitre/training,A CALDERA plugin,26,Cheat Sheets/Resources
teoseller/osquery-attck,https://github.com/teoseller/osquery-attck,Mapping the MITRE ATT&CK Matrix with Osquery,792,Cheat Sheets/Resources
googlecolab/colabtools,https://github.com/googlecolab/colabtools,Python libraries for Google Colaboratory,2341,Cheat Sheets/Resources
corelight/threat-hunting-guide,https://github.com/corelight/threat-hunting-guide,,51,Cheat Sheets/Resources
LOLAPPS-Project/LOLAPPS,https://github.com/LOLAPPS-Project/LOLAPPS,LOLAPPS is a compendium of applications that can be used to carry out day-to-day exploitation. ,184,Cheat Sheets/Resources
ancailliau/sans-indexes,https://github.com/ancailliau/sans-indexes,Indexes for SANS Courses and GIAC Certifications,247,Cheat Sheets/Resources
joshhighet/ransomwatch,https://github.com/joshhighet/ransomwatch,the transparent ransomware claim tracker 🥷🏼🧅🖥️,1019,Cheat Sheets/Resources
Azure/Microsoft-Defender-for-Cloud,https://github.com/Azure/Microsoft-Defender-for-Cloud,Welcome to the Microsoft Defender for Cloud community repository,1786,Cheat Sheets/Resources
EvilBytecode/GoRedOps,https://github.com/EvilBytecode/GoRedOps,"🦫  | GoRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team, with a specific focus on the Go programming language, all is made for educational purpoeses only.",554,Cheat Sheets/Resources
google/security-research,https://github.com/google/security-research,This project hosts security advisories and their accompanying proof-of-concepts related to research conducted at Google which impact non-Google owned code.,3940,Cheat Sheets/Resources
backdoorhub/shell-backdoor-list,https://github.com/backdoorhub/shell-backdoor-list,🎯 PHP / ASP - Shell Backdoor List 🎯,755,Cheat Sheets/Resources
rapid7/Rapid7-Labs,https://github.com/rapid7/Rapid7-Labs,"Rapid7 Labs operates as the division of Rapid7 focused on threat research. It is renowned for providing comprehensive threat intelligence, research and analytics.",60,Cheat Sheets/Resources
Hunting-Adversaries/Sample-Threat-Hunt-Report,https://github.com/Hunting-Adversaries/Sample-Threat-Hunt-Report,Sample threat hunting report provided by Hunting Adversaries,3,Cheat Sheets/Resources
randomaccess3/Awesome-BEC,https://github.com/randomaccess3/Awesome-BEC,Repository of attack and defensive information for Business Email Compromise investigations,252,Cheat Sheets/Resources
jamf/jamfprotect,https://github.com/jamf/jamfprotect,A repository for open-source resources created for use with or alongside Jamf Protect.,200,Cheat Sheets/Resources
zodiacon/WindowsInternals,https://github.com/zodiacon/WindowsInternals,Windows Internals Book 7th edition Tools,2512,Cheat Sheets/Resources
cyb3rfox/Aurora-Incident-Response,https://github.com/cyb3rfox/Aurora-Incident-Response,Incident Response Documentation made easy. Developed by Incident Responders for Incident Responders,903,Cheat Sheets/Resources
hfiref0x/SyscallTables,https://github.com/hfiref0x/SyscallTables,Windows NT Syscall tables,1279,Cheat Sheets/Resources
Zeyad-Azima/Offensive-Resources,https://github.com/Zeyad-Azima/Offensive-Resources,A Huge Learning Resources with Labs For Offensive Security Players,963,Cheat Sheets/Resources
nmantani/archiver-MOTW-support-comparison,https://github.com/nmantani/archiver-MOTW-support-comparison,,186,Cheat Sheets/Resources
trustedsec/SysmonCommunityGuide,https://github.com/trustedsec/SysmonCommunityGuide,TrustedSec Sysinternals Sysmon Community Guide,1214,Cheat Sheets/Resources
RedefiningReality/Cheatsheets,https://github.com/RedefiningReality/Cheatsheets,A collection of all my personal cheat sheets and guides as I progress through my career in offensive security.,201,Cheat Sheets/Resources
S1ckB0y1337/Awesome-CobaltStrike,https://github.com/S1ckB0y1337/Awesome-CobaltStrike,cobaltstrike的相关资源汇总 / A collection of cobaltstrike resources to make you better!,4,Cheat Sheets/Resources
marcurdy/dfir-toolset,https://github.com/marcurdy/dfir-toolset,Dump of organized knowledge on DFIR,134,Cheat Sheets/Resources
j00ru/windows-syscalls,https://github.com/j00ru/windows-syscalls,Windows System Call Tables (NT/2000/XP/2003/Vista/7/8/10/11),2321,Cheat Sheets/Resources
marcosValle/awesome-windows-red-team,https://github.com/marcosValle/awesome-windows-red-team," A curated list of awesome Windows frameworks, libraries, software and resources for Red Teams",578,Cheat Sheets/Resources
theintercept/sidtoday,https://github.com/theintercept/sidtoday,Snowden Archive: The SIDtoday Files,405,Cheat Sheets/Resources
iamcryptoki/snowden-archive,https://github.com/iamcryptoki/snowden-archive,💥 A collection of all documents leaked by former NSA contractor and whistleblower Edward Snowden.,1167,Cheat Sheets/Resources
eshlomo1/Microsoft-Sentinel-SecOps,https://github.com/eshlomo1/Microsoft-Sentinel-SecOps,Microsoft Sentinel SOC Operations,254,Cheat Sheets/Resources
mitre/emb3d,https://github.com/mitre/emb3d,,28,Cheat Sheets/Resources
JesseEsquivel/MDATP,https://github.com/JesseEsquivel/MDATP,Microsoft Defender Advanced Threat Protection,44,Cheat Sheets/Resources
strontic/xcyclopedia,https://github.com/strontic/xcyclopedia,Encyclopedia for Executables,440,Cheat Sheets/Resources
Psmths/windows-forensic-artifacts,https://github.com/Psmths/windows-forensic-artifacts,Handbook of windows forensic artifacts across multiple Windows version with interpretation tips and some examples. Work in progress!,350,Cheat Sheets/Resources
Velocidex/velociraptor-docs,https://github.com/Velocidex/velociraptor-docs,Documentation site for Velociraptor,45,Cheat Sheets/Resources
wietze/HijackLibs,https://github.com/wietze/HijackLibs,Project for tracking publicly disclosed DLL Hijacking opportunities.,753,Cheat Sheets/Resources
AndrewRathbun/DFIRArtifactMuseum,https://github.com/AndrewRathbun/DFIRArtifactMuseum,The goal of this repo is to archive artifacts from all versions of various OS's and categorizing them by type. This will help with artifact validation processes as well as increase access to artifacts that may no longer be readily available anymore. ,597,Cheat Sheets/Resources
rod-trent/MustLearnKQL,https://github.com/rod-trent/MustLearnKQL,Code included as part of the MustLearnKQL blog series,1048,Cheat Sheets/Resources
Azure/Azure-Sentinel,https://github.com/Azure/Azure-Sentinel,Cloud-native SIEM for intelligent security analytics for your entire enterprise.,5052,Cheat Sheets/Resources
OTRF/infosec-jupyter-book,https://github.com/OTRF/infosec-jupyter-book,The Infosec Community Definitive Guide to Jupyter Notebooks,121,Cheat Sheets/Resources
e-a-security/macOS-Exploit-Dev-OSMR,https://github.com/e-a-security/macOS-Exploit-Dev-OSMR,"Resources, scripts, and overviews of the knowledge I collect going through Offensive Security's macOS Exploit Development course.",45,Cheat Sheets/Resources
e-a-security/Exploit-Dev-OSCE,https://github.com/e-a-security/Exploit-Dev-OSCE,"Exploit Development, backdooring PE, bypassing Anti-Virus (AV), assembly shellcoding",142,Cheat Sheets/Resources
tsale/EDR-Telemetry,https://github.com/tsale/EDR-Telemetry,This project aims to compare and evaluate the telemetry of various EDR products.,1796,Cheat Sheets/Resources
bohops/UltimateWDACBypassList,https://github.com/bohops/UltimateWDACBypassList,A centralized resource for previously documented WDAC bypass techniques,555,Cheat Sheets/Resources
cipher387/osint_stuff_tool_collection,https://github.com/cipher387/osint_stuff_tool_collection,A collection of several hundred online tools for OSINT,6314,Cheat Sheets/Resources
frank-leitner/portswigger-websecurity-academy,https://github.com/frank-leitner/portswigger-websecurity-academy,Writeups for PortSwigger WebSecurity Academy,309,Cheat Sheets/Resources
certsocietegenerale/IRM,https://github.com/certsocietegenerale/IRM,Incident Response Methodologies 2022,1049,Cheat Sheets/Resources
ziishaned/learn-regex,https://github.com/ziishaned/learn-regex,Learn regex the easy way,46006,Cheat Sheets/Resources
MalwareArchaeology/ATTACK,https://github.com/MalwareArchaeology/ATTACK,MITRE ATT&CK Windows Logging Cheat Sheets,340,Cheat Sheets/Resources
kargisimos/offensive-bookmarks,https://github.com/kargisimos/offensive-bookmarks,"A collection of bookmarks for penetration testers, bug bounty hunters,  malware developers, reverse engineers and anyone who is just interested in infosec topics.",911,Cheat Sheets/Resources
Ignitetechnologies/Mindmap,https://github.com/Ignitetechnologies/Mindmap,"This repository will contain many mindmaps for cyber security technologies, methodologies, courses, and certifications in a tree structure to give brief details about them",7999,Cheat Sheets/Resources
aws-samples/aws-incident-response-playbooks,https://github.com/aws-samples/aws-incident-response-playbooks,,985,Cheat Sheets/Resources
rizemon/exploit-writing-for-oswe,https://github.com/rizemon/exploit-writing-for-oswe,Tips on how to write exploit scripts (faster!),488,Cheat Sheets/Resources
triclorne/simple-opsec,https://github.com/triclorne/simple-opsec,"A list of resources for the security conscious tech-users. Operation security, incident response and help guides.",30,Cheat Sheets/Resources
meirwah/awesome-incident-response,https://github.com/meirwah/awesome-incident-response,A curated list of tools for incident response,8133,Cheat Sheets/Resources
austinsonger/Incident-Playbook,https://github.com/austinsonger/Incident-Playbook,GOAL: Incident Response Playbooks Mapped to MITRE Attack Tactics and Techniques. [Contributors Friendly],1459,Cheat Sheets/Resources
hmaverickadams/TCM-Security-Sample-Pentest-Report,https://github.com/hmaverickadams/TCM-Security-Sample-Pentest-Report,Sample pentest report provided by TCM Security,1196,Cheat Sheets/Resources
hmaverickadams/External-Pentest-Checklist,https://github.com/hmaverickadams/External-Pentest-Checklist,,424,Cheat Sheets/Resources
matt-snyder-stuff/.conf_2021,https://github.com/matt-snyder-stuff/.conf_2021,Fun stuff from Splunk 2021 .conf Talk,4,Cheat Sheets/Resources
Insider-Threat/Insider-Threat,https://github.com/Insider-Threat/Insider-Threat,Creating a resource to help build and manage an Insider Threat program. ,69,Cheat Sheets/Resources
firasdib/Regex101,https://github.com/firasdib/Regex101,This repository is currently only used for issue tracking for www.regex101.com,3362,Cheat Sheets/Resources
fastfire/deepdarkCTI,https://github.com/fastfire/deepdarkCTI,Collection of Cyber Threat Intelligence sources from the deep and dark web,5110,Cheat Sheets/Resources
mvelazc0/PurpleTeamPlaybook,https://github.com/mvelazc0/PurpleTeamPlaybook,Active Directory Purple Team Playbook,108,Cheat Sheets/Resources
SpecterOps/presentations,https://github.com/SpecterOps/presentations,SpecterOps Presentations,196,Cheat Sheets/Resources
SpecterOps/at-ps,https://github.com/SpecterOps/at-ps,Adversary Tactics - PowerShell Training,1543,Cheat Sheets/Resources
JPCERTCC/ToolAnalysisResultSheet,https://github.com/JPCERTCC/ToolAnalysisResultSheet,Tool Analysis Result Sheet ,353,Cheat Sheets/Resources
mxrch/GHunt,https://github.com/mxrch/GHunt,🕵️‍♂️ Offensive Google framework.,16486,Cheat Sheets/Resources
timip/OSEP,https://github.com/timip/OSEP,PEN-300/OSEP Public resources for PEN-300 Training,97,Cheat Sheets/Resources
chvancooten/OSEP-Code-Snippets,https://github.com/chvancooten/OSEP-Code-Snippets,A repository with my notable code snippets for Offensive Security's PEN-300 (OSEP) course.,1270,Cheat Sheets/Resources
In3x0rabl3/OSEP,https://github.com/In3x0rabl3/OSEP,PEN-300 collection to help you on your exam.,601,Cheat Sheets/Resources
